Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-02-18,1996.7994384765625,2001.5306568233984,1970.0343044033225,1982.5606802105567,2486223
2020-02-19,1979.3165283203125,2009.6412966513826,1974.0445113519522,1996.7994184104489,1760463
2020-02-20,1943.6749267578125,1995.5830260385376,1938.6733083855534,1986.661386791843,2317278
2020-02-24,1906.3209228515625,1963.6361311385797,1898.5255440879405,1942.953988666825,3092877
2020-02-25,1943.089111328125,1961.5633958567319,1902.4007141409418,1906.4560448911238,2674567
2020-02-26,1913.75537109375,1950.0729281327854,1904.1576247666978,1941.1512901536926,2686842
2020-02-27,1897.4437255859375,1910.465795966416,1880.0508229250836,1910.465795966416,2349001
2020-02-28,1802.5042724609375,1865.0013980579704,1793.357227415009,1863.6496212533862,4298076
2020-03-02,1803.5408935546875,1850.9881776209704,1789.4823249342708,1833.9107724166115,2667076
2020-03-03,1834.991943359375,1856.4401797302846,1813.1833211734624,1820.3927975995994,2757585
2020-03-04,1877.3475341796875,1887.4858599547244,1824.8986395066465,1852.8353594200814,3237002
2020-03-05,1915.062255859375,1935.5191009690145,1878.1136896204137,1879.6005561090933,3937056
2020-03-06,1907.3121337890625,1913.8006190117828,1866.8941358290122,1890.6853216509119,2595027
2020-03-09,1777.4512939453125,1874.3736245892983,1743.79207359608,1869.9579083782253,4940975
2020-03-11,1760.64404296875,1790.9239289595137,1730.274170541047,1741.989568570752,6796449
2020-03-12,1594.96142578125,1719.8205869922494,1584.5978036384115,1715.8553530403706,8728786
2020-03-13,1627.8099365234375,1640.156122674477,1357.229235516288,1521.1096480797385,8029720
2020-03-16,1528.7694091796875,1660.2071466215975,1510.2500236848437,1581.5787989257178,7844271
2020-03-17,1494.1640625,1559.9505381106756,1462.7578012819602,1559.0493535132691,5713248
2020-03-18,1490.9197998046875,1544.2248900225686,1466.9032086067539,1511.1063565153972,7258778
2020-03-19,1485.4276123046875,1529.999042980892,1404.0915413034215,1415.847104193819,5135111
2020-03-20,1631.6690673828125,1696.6199726174573,1476.9399119575191,1479.6632184946257,8547498
2020-03-23,1515.70166015625,1588.5955458115704,1468.5431109923818,1470.5855909798538,7003490
2020-03-24,1546.0667724609375,1606.751107083074,1482.2505683464833,1500.5875683719319,6350865
2020-03-25,1588.867919921875,1643.061677901487,1525.0517231350818,1543.207100791452,2765520
2020-03-26,1625.7685546875,1663.0779425463818,1563.6772548712202,1662.669380082659,4556067
2020-03-27,1656.2242431640625,1679.372348508367,1588.9585945023498,1652.1392833974205,4331250
2020-03-30,1614.466796875,1729.2995490845517,1600.895697756701,1603.1196869728706,8513547
2020-03-31,1657.6767578125,1683.91130105323,1615.8286338947437,1667.9345906556985,3927593
2020-04-01,1551.1502685546875,1665.5291618029044,1545.0228278449615,1657.4954283680372,4941878
2020-04-03,1501.6312255859375,1579.5178392240512,1497.8186406434968,1579.5178392240512,5735369
2020-04-07,1611.471435546875,1621.1391972656656,1547.7460980064002,1552.2849428685893,5427577
2020-04-08,1548.154541015625,1639.4307550057454,1544.115013435644,1597.6733825083677,6285615
2020-04-09,1603.2562255859375,1614.739525484194,1571.529632864115,1589.0041859405267,5307397
2020-04-13,1596.9925537109375,1622.1831425217822,1584.964614909363,1598.5811494017116,2990438
2020-04-15,1575.115234375,1644.877252415851,1568.443155099547,1620.3674920321712,4761399
